1.wav|ŋu lɔ-hɔ-ɦəʔ , noŋ-ɲi ?
1666.wav|gəʔ=tɐʔ gəʔ ʦʰəŋ=se1 fu ɦi mi gəʔ tʰɪɲ kʷɐʔ .
1667.wav|noŋ kʰø1=e1=mi ɪʔ=ɟi iɔ1=hɔ ti=vɐʔ ?
1668.wav|gəʔ diɔ=lɪɲ tɑ ŋe=səʔ=liã ɪʔ=ti , kəŋ1 gəʔ=ɟi si1=ʦɑ̃ pi-ciɔ pʰe .
1669.wav|gəʔ ŋe si1=ʦɑ̃ tʰəʔ=e1=mi gəʔ ɪʔ=ɦiã , zi=bu=tã cy-ʦəʔ .
167.wav|noŋ hɔ=tu1 zz ci=tʰi1 vɐʔ 'lɑ ?
1670.wav|si1-sã1 siɔ-ʦiɑ , ɲɪɲ 'nɑ iɔ1=mɑ ti=sɑ gəʔ sɤ=səʔ ?
1671.wav|ɲiã ɑ1-'lɑ si1 kʰø1=kʰø1 ʦe-kɑ̃ .
1672.wav|ɦi=le boʔ cɪɲ1=sɤ=səʔ ziɑ-cʰi ɲiɪʔ=nɔ .
1673.wav|siɔ-ʦiɑ i cɪɲ=ɦiɤ ɪʔ ʦɐʔ1 kɑ=ʦz , iɔ1-vəʔ-iɔ1 pʰe=diɔ boʔ cɪɲ1=ɦɑ̃ li ?
1674.wav|hɔ-ku . ɲɪɲ 'nɑ=tɐʔ ɦiɤ ci=ʦoŋ kʰʷø=səʔ , pəʔ ŋu kʰø1=kʰø1 ciɔ .
1675.wav|noŋ kʰø1 ŋu gəʔ=tɐʔ ɪʔ=bɑ=sã1 ɦiɤ zəʔ-ɲi diɔ , ze=lɔ lɪɲ-ɦəʔ .
1676.wav|ɦe-ɦiɤ e1=mi gʷe-de li=ɕiã ɦɑ-ɦiɤ ciɔ1-kʷe .
1677.wav|ŋu kʰø1 gəʔ diɔ 'me-du fɑ̃=gəʔ .
1678.wav|si1-sã1 ŋe-kʷɑ̃1 ʦəŋ1 hɔ , ɑ1=iɔ1 sz=sz tɑ tɑ kʰø1 ?
1679.wav|noŋ kʰø1 , hɐʔ tiɑ !
168.wav|ŋu iɔ1 we-cʰi 'ləʔ .
1680.wav|ŋu ciɐʔ-zɐʔ kɑ=si tʰəʔ cy , ʦe-kɑ̃ məʔ=sɑ tʰəʔ=bɪʔ hɔ=kʰø1  
1681.wav|iɔ1=məʔ ɑ1-'lɑ tɔ bɪʔ-ɦəʔ di=fɑ̃ ʦe cʰi-kʰø1-kʰø1 .
1682.wav|hʷø=ɲɪɲ kʷɑ̃1-lɪɲ , siɔ-ʦiɑ cɪɲ1=ʦɔ1 dɤ=fɐʔ iɔ1 ʦi ɪʔ ʦi ɦe-zz tʰɑ̃ ɪʔ tʰɑ̃ ?
1683.wav|gəʔ=tɐʔ tʰɑ̃=fɐʔ ɦiɤ=ɦiɤ li=ʦz tʰɑ̃ , vɤ=li=ʦz tʰɑ̃ , zəʔ=pe tʰɑ̃ , kɑ̃=sz tʰɑ̃ .
1684.wav|ɦioŋ-vəʔ-zɐʔ , dɑ ɪʔ dɑ , ʦʰø1 ɪʔ-ʦʰz1 zy kʰu=i 'ləʔ .
1685.wav|noŋ=iɔ1 kø1 dɑ ɦe-zz sɐʔ dɑ ɑ ?
1686.wav|kø1 dɑ hɔ 'ləʔ .
1687.wav|cʰɪɲ ɪʔ=ŋe ɦe-zz zoŋ ɪʔ=ŋe ?
1688.wav|ɦi=le ʦəŋ1=hɔ , vəʔ zoŋ ɦɑ vəʔ cʰɪɲ .
1689.wav|dɤ=ɦe=ɦiã ɕi-ɕi vɐʔ ? vəʔ ɦiã məʔ , cʰi=ʦʰoŋ tʰəʔ ɦi hɔ vɐʔ ?
169.wav|ŋu ke bɔ-liɔ .
1690.wav|ɑ-ɦo-le , tʰəʔ=noŋ ø=mu iɔ1=vɐʔ ?
1691.wav|ɑ1-'lɑ ɦe-ɦiɤ təʔ ʦu mi=moʔ , sy1 mi=mɔ , ʦəŋ1 mi , ɕiã1=ɕyɪɲ1 , ʦz=ɐʔ .
1692.wav|ciɑ-sz siɔ-ʦiɑ iɔ1-ɦəʔ ɦe-ɦo , hɔ tã-ku pɐʔ-ʦəʔ .
1693.wav|ziɑ=ziɑ , məʔ-zəŋ-kʷɑ̃1 'ləʔ , ŋu ʦəʔ1=iɔ1 ɲiɐʔ ɲiɐʔ be kəŋ1 iɔ1 hɔ 'ləʔ .
1694.wav|hʷø=ɲɪɲ kʷɑ̃1-lɪɲ , ɦi=le ɲɪɲ-tu1 , ʦʰɪɲ=noŋ zu-ɦo le təŋ=ɪʔ=ɕiɪʔ .
1695.wav|ɲɪɲ 'nɑ gəʔ=tɐʔ sã1-i ʦəŋ1 hɔ , ciɑ nɔ=mã !
1696.wav|noŋ siã=iɔ1 dɤ=fɐʔ tʰi=təʔ ʦã=ti ɦe-zz tø=ti ?
1697.wav|ʦɔ lɔ=ɦiã=ʦz hɔ 'ləʔ , sɔ-we tø ɪʔ=ti .
1698.wav|sy1=mi sy1=vɐʔ ?
1699.wav|sy1=mi noŋ=iɔ1 sy1=sy1 ʦʰɪɲ1=sɑ̃ .
17.wav|koŋ1=ʦoʔ lɔ=mɑ̃=gəʔ , ɦe-iɔ1 zz-ɦoʔ ɪɲ1=vəŋ
170.wav|ŋu pɪʔ sy=si1 ʦɤ-liɔ .
1700.wav|ŋu ɦe-iɔ1 ɟioʔ=ɦiɤ tʰəʔ=ʦʰø1 dɤ=fɐʔ .
1701.wav|noŋ dɤ=fɐʔ siã ʦʰø1 sɑ=gəʔ səʔ=ɦiã ?
1702.wav|cɪɲ1=ʦɔ1=ɦiɑ=dɤ noŋ iɐʔ-we lɐʔ sɑ=di=fɑ̃ ?
1703.wav|cɪɲ1=ʦɔ1 ci=mɔ=ʦʰe tɔ=me bi=ɲi gəʔ məʔ !
1704.wav|ɪʔ=ti ɦɑ vəʔ bi=ɲi , cy təʔ=le ɲiɪʔ=hʷəŋ1 !
1705.wav|gəʔ-nəŋ-kɑ le=ʦɔ1=ʦɔ1 gəʔ ʦʰe iɔ1 ciɑ=cy ɑ !
1706.wav|noŋ kʰø1=kʰø1 ʦʰɪɲ1=sɑ̃ , vəʔ=iɔ1 tʰəʔ sɪɲ1=si ɔ !
1707.wav|ɦiã=se1=z  kʰɤ=ɟiã  le-si gəʔ !
1708.wav|wu=le=dɤ ʦe təʔ=vəʔ təʔ-liɔ !
1709.wav|ɐʔ1-ɦi , cɪɲ1=ʦɔ1 ʦoʔ=səŋ lɔ=nəŋ gəʔ , ʦʰəŋ liã=cɪɲ1 cʰi nɑ-nəŋ ?
171.wav|noŋ sɑ-zəŋ-kʷɑ̃1 ʦɤ ?
1710.wav|ci=di ɪʔ=cɪɲ1 ?
1711.wav|sz=kʰʷe ŋ-koʔ ɪʔ=cɪɲ1 ,  kʰɤ=ɟiã  təʔ=le !
1712.wav|ciɑ=cy=gəʔ , cy=təʔ ɪʔ=tʰɐʔ=wu=du ! cy 'ləʔ oʔ=li siã1 ɦɑ vəʔ ɲɪɲ=təʔ 'ləʔ !
1713.wav|pɑ̃=pɑ̃ mɑ̃ ɔ , noŋ kʰø1=kʰø1 , ŋu tɐʔ=gəʔ ʦoʔ=səŋ zz tɪɲ hɔ-ku !
1714.wav|ʦəŋ1-ku ɑ ? kəʔ=mɑ bi=ɲi ɪʔ=ŋe məʔ hɔ=le !
1715.wav|vəʔ=le=se1 gəʔ , ŋu vəʔ hɔ ʦu zəʔ-pəŋ=sã1-i gəʔ !
1716.wav|hɔ=hɔ hɔ . noŋ vəŋ1-liã iɔ1=ʦʰəŋ ʦʰəŋ=ʦoʔ .
1717.wav|ɪʔ-cy-ɦe-ɦo !
1718.wav|cɪɲ1=ʦɔ1 ŋu=le ʦʰɪɲ=kʰɐʔ .
1719.wav|ci be hɔ cʰɪʔ=ti gəʔ ve=ti cʰi-cʰɪʔ .
172.wav|məŋ-ʦɔ1 ɦo-pø-tʰi1 liã=ti pø-ku fi=ci1 .
1720.wav|noŋ le=ti ʦʰe hɔ=le .
1721.wav|ɲɪɲ 'nɑ gəʔ=tɐʔ sɑ=gəʔ ʦʰe ʦø ɦiɤ tʰəʔ=səʔ ?
1722.wav|ɑ1-'lɑ ɦiɤ ʦɐʔ1 kʰɔ zz=kəʔ , cʰɪʔ cʰi=le nəŋ toʔ=toʔ , ɕiã1=pʰəŋ=pʰəŋ .
1723.wav|ciɔ ʦəʔ1 ʦʰɪɲ1=ʦəŋ1 lu-ŋ hɔ-'ne , ɦe-zz ɦɔ=ɦiɤ ɲiɤ=ɲioʔ hɔ ?
1724.wav|loŋ diɔ=wəʔ sɐʔ de-wɑ̃ zo cʰɪʔ cʰɪʔ=hɔ vɐʔ ?
1725.wav|le ʦəʔ1 i1 toʔ si=məʔ hɔ=le .
1726.wav|ŋu iɔ1=cʰɪʔ pəŋ=pɑ̃1=ʦʰe , lɪʔ=ʦz ɦoŋ-sɔ=ɲioʔ , ɲioŋ=ɦiɤ=ʦʰɐʔ=ʦiã gəʔ .
1727.wav|di=bɑ̃ toʔ təʔ su1 ɪʔ=ti , tʰɪɲ=tɔ vɐʔ !
1728.wav|di=cɪɲ1 vəʔ hɔ ʦʰɔ-liɔ wu=dɐʔ dɐʔ=gəʔ ɔ !
1729.wav|ɲioʔ=sz ʦʰɪʔ təʔ=le zɪʔ zɪʔ=si , ʦʰɤ-dɤ-vu-kø1 ʦi1 təʔ=le pʰəŋ pʰəŋ=ɕiã1 !
173.wav|ŋu tɔ ci1-zã cʰi soŋ=noŋ .
1730.wav|gəʔ ʦəʔ1 ɐʔ=ʦz vəʔ tʰɑ su1 .
1731.wav|ŋu=le 'ne-cʰi ʦe=sɔ sɔ ɦi .
1732.wav|sɔ-we təŋ=ɪʔ=ɕiɪʔ , mo-zɑ̃ zy hɔ 'ləʔ ɔ !
1733.wav|ti gəʔ ŋe=ʦʰe ɦiɤ=təʔ cʰɪʔ le !
1734.wav|ve vəʔ=iɔ1 zã 'ləʔ pʰɐʔ=pʰɐʔ=mø .
1735.wav|mɑ-te ! cɪɲ1=ʦɔ1 ŋu tʰɪɲ=ʦã .
1736.wav|vəʔ=iɔ1 ɔ , pʰɪʔ=ŋã=zɑ hɔ=le !
1737.wav|cɪɲ1=ʦɔ1 tɔ zəŋ=wɑ̃ miɔ 'ləʔ məʔ , zy=iɔ1 zɑ̃=zɑ̃ pəŋ=pɑ̃1 siɔ cʰɪʔ-ɦəʔ mi-dɔ 'ləʔ .
1738.wav|gəʔ=tɐʔ gəʔ " nø=ziã siɔ=loŋ " lɔ=ʦe gəʔ !
1739.wav|tʰɪɲ-kɑ̃ ɪʔ ʦɐʔ1 ʦɪɲ1=pʰɪɲ ci ɐʔ ɕyɪʔ=sɑ̃ , si=zz si təʔ=le !
174.wav|ziɑ=ziɑ=noŋ le soŋ ŋu .
1740.wav|kəʔ=zz gəʔ=tɐʔ gəʔ mi cɪɲ1 pɐʔ-ɦiɪʔ sɑ̃=tɑ̃ ʦø=ʦø ʦəŋ1=ʦoŋ1 gəʔ .
1741.wav|ɪʔ=uø ʦɤ=so=wəŋ=dəŋ , bi=boʔ zz boʔ təʔ ɲioʔ ɦɑ kʰø1=təʔ-ci !
1742.wav|kɑ-li ɲiɤ=ɲioʔ sɑ̃ , ɦiɤ=dɤ=vu si fəŋ=sɑ̃ vəʔ=iɔ1 mɑ̃-ci-tʰəʔ cʰɪʔ .
1743.wav|kʷe=ho1 ʦʰɐʔ=dɤ=sɑ̃ noŋ iɔ1=cʰɪʔ cʰɪʔ kʰø1 vɐʔ ?
1744.wav|noŋ vəŋ-vəŋ ɕiã1-vi kʰø1 , ŋ-ɕiã1=zo-ɦiɪʔ=de ɕiã1=vəʔ=ɕiã1 ?
1745.wav|noŋ-kɑ̃ təʔ=ŋu ze ɦɑ ze sɐʔ le !
1746.wav|ŋu siã=cʰɪʔ cʰɪʔ ʦʰã lɔ ʦe ʦɤ .
1747.wav|zɑ̃=he gəʔ kʰʷe di=fɑ̃ , he-ne ŋɑ=ɦiã=ɦiã siɔ=ʦʰe ze=ɦiɤ .
1748.wav|pʰəŋ-diɔ fɑ̃=fɐʔ ɦɑ-zz ɦiɤ ʦɪɲ1 ʦz ɦiɤ zɪʔ kɑ̃1-nø dɑ-zəŋ .
1749.wav|hu=tʰe iɔ1 kɐʔ=sz " ʦəŋ1 " , ɲiɤ pɐʔ-ɦiɪʔ ʦəʔ1=iɔ1 sz li ɪʔ " tʰəŋ " .
175.wav|ʦe-we , ʦoʔ-noŋ ɪʔ=lu=bɪɲ=ø1 .
1750.wav|tɑ-ŋ iɔ1=cʰɪʔ kø1 " ʦi1 " , dɤ=pe hɔ ɦiɤ " tʰəŋ " .
1751.wav|kɔ1=bɐʔ iɔ1 ɦioŋ=ɦiɤ " 'məŋ " , kəʔ=li pɑ=lɐʔ=de li " təŋ " .
1752.wav|su=ʦɤ1 dɤ=vu=ɟi1 , zɔ=ɕɪɲ me kø1-ʦʰe , ɲɪɲ-poʔ1 wɑ̃=ɲi=lu , nø-cɪɲ1 ɐʔ=ɕyɪʔ=sɑ̃ .
1753.wav|ɪʔ=tɔ ɦiɑ=li , mɑ liã=ɦiã zoʔ=ʦʰe , di=zz=məʔ kʰø1=kʰø1 , lɔ=ʦy məʔ 'mi 'mi .
1754.wav|ɦi lɑ zz ɦoŋ-zã ʦʰɪʔ=ʦʰɪʔ , səʔ-lɐʔ bø1 bø1 , sɔ=sɔ lu soŋ=sɑ̃ , zz=ci ʦu si1=ʦʰe .
1755.wav|ɑ1-'lɑ di=bɑ̃ toʔ=toʔ , lu=sz soʔ soʔ , wu=ɟɪʔ hã=hã , ziɑ-cʰi siɔ=loʔ !
1756.wav|gəʔ=tɐʔ siɔ-cʰy loʔ=di mi=ʦɪʔ ɦiɤ=tu1=sɔ ?
1757.wav|ʦø1 ci=ʦoʔ ʦoŋ=mi=ʦɪʔ pɐʔ-fəŋ1=ʦz1 ci ?
1758.wav|koŋ1-goŋ1 səʔ=sz1 ɦiɤ=ŋe sɑ ?
1759.wav|pʰi=zz ciã , siɔ-cʰy ɟi=səŋ1=vɑ̃ , r-doŋ=loʔ-ɦiø , du=sz kʷø lɔ  ɲɪɲ zi  ɦiɤ .
176.wav|vɐʔ iɔ1 mɑ̃-ci-tʰəʔ pɑ̃=ŋu=tã di=ɦo , kɐʔ kʰʷɑ zy ʦɤ-liɔ , lɔ ɦi-ɦø gəʔ .
1760.wav|siɔ-cʰy bɑ̃=pi ʦɪɲ=ʦʰəʔ fɑ̃=bi vɐʔ ?
1761.wav|pʰi=zz ciã , ŋu=iɔ1 tɔ zz=ʦoŋ1=sɪɲ1 , ɦiɤ sɑ ʦʰo-ʦz hɔ ʦʰəŋ ʦʰəʔ-cʰi vɐʔ ?
1762.wav|gəʔ=tɐʔ iɔ1=diɔ di=tʰɪʔ tʰəʔ=cʰɪɲ=kʷe bi=tɑ̃ vɐʔ ?
1763.wav|ŋu ciɑ-sz iɔ1 zɑ̃ kɔ1=kɑ , ɑ1-li gəʔ lu=kʰɤ li gəʔ=tɐʔ ʦø=ɟɪɲ ?
1764.wav|gəʔ=tɐʔ ʦɤ1-we ɦiɤ-vəʔ-ɦiɤ siɔ-ʦʰe-zã kəŋ1 du-ɦɪɲ=ʦʰɔ1=zz , sã1=wəʔ=ɦioŋ=pʰɪɲ mɑ ?
1765.wav|zɔ1-nø ʦʰɑ̃=kʰɤ zi=dɤ ɦe-we-təʔ zɔ=kɔ1=lɤ , sɑ̃1=lɔ ɦiã-kʷɑ̃1 pɑ̃=zz=si vɐʔ ?
1766.wav|ʦɤ1-we gʷe=cɪɲ nɑ-nəŋ=ciɑ ? zɪɲ=vəʔ=zɪɲ ? ɦiɑ=li siã1=ɕiã ʦʰɔ vəʔ ʦʰɔ ?
1767.wav|siɔ-cʰy ø1=zi vɐʔ ? ɦiɑ=li=ɕiã ɦiɤ ʦɔ=mɪɲ səʔ=sz1=vɐʔ ?
1768.wav|ŋu siã-vəŋ  ɲɪɲ 'nɑ  ʦu1=vɑ̃=ʦz ʦʰəŋ-ʦʰəŋ .
1769.wav|vɑ̃=ʦz gəʔ ʦʰe-kʷɑ̃1 diɔ-ɟi iɔ1 hɔ=ɪʔ=ti , vəʔ=iɔ1 koʔ=koʔ=dɤ gəʔ vɑ̃=ʦz .
177.wav|noŋ sɑ zəŋ-kʷɑ̃1 ʦe=le ?
1770.wav|ʦu1=gəʔ vɑ̃=ʦz iɔ1=li ŋu koŋ1=ʦoʔ gəʔ di=fɑ̃ ɟɪɲ ɪʔ=ŋe .
1771.wav|ŋu iɔ1=ɪʔ səʔ ɪʔ=tʰɪɲ gəʔ vɑ̃=ʦz , mi=ʦɪʔ lɐʔ sz zəʔ-ku bɪɲ=fɑ̃ ʦu=ɦiɤ .
1772.wav| ɲɪɲ 'nɑ  gəʔ ci vɑ̃=ʦz zɔ1-ɕiã hɔ vəʔ hɔ ?
1773.wav|me=cʰi vəʔ=ɪʔ=dɪɲ iɔ1=ɪʔ kəʔ=dɤ ɦioŋ , de=zz we-səŋ1 iɔ1=doʔ ɦioŋ-ɦəʔ .
1774.wav|ŋu ʦø=hɔ iɔ1 tu1=zəŋ gəʔ se1=sz lɤ .
1775.wav|zz-vəʔ-zz ʦɑ̃=sy1 hɔ-ku ?
1776.wav|me=cʰi , ɲiɪʔ=sz cʰi , si=i1=ci1 , kʰoŋ1-diɔ ɦiɤ-vəʔ-ɦiɤ ?
1777.wav|ʦu1=cɪɲ1 nɑ-nəŋ sø ? sz=di=me nɑ-nəŋ ciɔ1 ?
1778.wav|ŋu=iɔ1 pø-zã kʰʷɑ-liɔ .
1779.wav|ŋu=mɑ 'ləʔ zi=ciɑ1 we vu=ɟɪɲ gəʔ kɔ1=zəŋ .
178.wav|ŋu ɑ vɐʔ ɕiɔ=təʔ .
1780.wav|noŋ pø=gəʔ ʦəŋ1=zz hɔ di=dø , ɦi=le dɑ-ciɑ1 zz cʰɪʔ di=dø cʰɪʔ vɑ̃=ɦɪɲ gəʔ , gəʔ .
1781.wav|ŋu pø lɐʔ zəʔ-pɐʔ lɤ , dɑ vɑ̃=ci pɑ̃ du-tʰɪɲ ze zɔ1-nø .
1782.wav|noŋ-ku vɑ̃=ʦz təʔ=vɑ̃ lɪʔ=kɔ1 vəʔ kɔ1 ? mi=ʦɪʔ dɑ vəʔ dɑ ?
1783.wav|se1=vɑ̃ liã=tʰɪɲ liã=we , ci=ʦoʔ mi=ʦɪʔ ɪʔ=pɐʔ=se1-səʔ loʔ-ku bɪɲ=fɑ̃ .
1784.wav|vəʔ=iɔ1 tʰəʔ ʦe=ɔ ! zz mɔ pʰe vɑ̃ ɦe-zz ʦɑ̃ sy1=vɑ̃ ?
1785.wav|mɔ=pʰe1=vɑ̃ ! ɦi=le lɐʔ=lɐʔ ʦʰɪɲ-ɲɪɲ ʦɑ̃=sy1 .
1786.wav|e1 mi=tɐʔ gəʔ vəʔ-ɲiɪʔ kʷø=li hɔ vəʔ hɔ ? kʷø=li fi=cy=vɐʔ ?
1787.wav|mɑ=mo-hu=hu , ze ɪʔ-pe-sɪɲ .
1788.wav|noŋ vɑ̃=ʦz ʦʰɔ=pʰiɔ ɪʔ=ʦʰz=sɪɲ ze=fu tʰəʔ-liɔ vɐʔ ?
1789.wav|ŋu ʦəʔ1=fu 'ləʔ sɤ-ɟi vɑ̃=kʰʷø , ɟi-tʰɑ1 gəʔ ze de=kʰʷø .
179.wav|ci=təʔ cɪɲ=zã=le kʰø1=kʰø1 ŋu .
1790.wav|siɔ-ʦiɑ , cɪɲ1=ʦɔ1 ɦiɑ=li ɦiɤ-vəʔ-ɦiɤ kʰoŋ1=vɑ̃=ci .
1791.wav|ɦiɤ-ku , si1-sã1 noŋ ci=we ?
1792.wav|liã-ku , ɑ1-'lɑ zz piɔ-ci hɔ 'ləʔ , ci=di ɪʔ=ɦiɑ ?
1793.wav|gəʔ=tɐʔ zz se1=sɪɲ1 cɪʔ=pɪɲ=kʷø , se1=pɐʔ=ɲiø ɪʔ=ɦiɑ .
1794.wav|ɑ1-'lɑ iɔ1 zz se1=ɦiɑ tʰi1 .
1795.wav|pəʔ=noŋ se1=lɤ se1 lɪɲ-ŋ vɑ̃=ci hɔ=vɐʔ ?
1796.wav|hɔ-ku . vɑ̃=ci li zã-du=di=ɦo kʰu=i zəʔ=pəʔ=vɐʔ ?
1797.wav|vɑ̃=ci li ʦəʔ1=hɔ pəʔ zz-ne , zã-du kʰu=i tɔ ʦoŋ de le tã .
1798.wav|ʦe vəŋ=sã , ʦʰø1=tʰɪɲ ɦiɑ=li ci=ti ʦoŋ kʰe=məŋ ?
1799.wav|si1-sã1 , ʦʰɪɲ=noŋ 'ne wu=ʦɔ wəʔ=ʦe səŋ1-vəŋ1 ʦəŋ=ɲiã ŋu təŋ1=ci ɪʔ-ɕiɑ .
18.wav|noŋ-ɲi  ku-liɔ hɔ=vɐʔ ?
180.wav|ŋu we tɪʔ siã noŋ-ku .
1800.wav| lu koŋ-goŋ cʰi1-ʦʰo1 ze=dɤ , tɔ ŋɑ=tʰe cʰi , lɐʔ sɑ=di=fɑ̃ ?
1801.wav|gəʔ bu ʦʰo-ʦz tɔ=zɪɲ ø1=zz vɐʔ ?
1802.wav|tɔ-liɔ zã=zoʔ=lu , ʦʰɪɲ noŋ-ciɔ ɪʔ-sã ŋu .
1803.wav|ŋu i cɪɲ=səʔ ku=kʰɑ 'ləʔ .
1804.wav|ŋu ʦʰəŋ ku=dɤ 'ləʔ , nɑ-nəŋ-be ?
1805.wav|gəʔ bu=zz cʰy-ci=cy , tɔ=me loŋ sɪɲ1=ʦʰəŋ1 iɔ1 ʦʰəŋ lɪɲ ɪʔ=bu .
1806.wav|ɦo-dɤ ɪʔ=ze zz sɑ=di=fɑ̃ ?
1807.wav|" 'me=li=ɦiø " tɔ-liɔ vɐʔ ?
1808.wav|ʦe ʦʰəŋ liã=ze .
1809.wav|te=vəʔ=cʰi , ɲiã ɪʔ ɲiã , ŋu ɦo-ʦʰo .
181.wav|ŋu ɪʔ=dɪɲ we tɪʔ ʦe le-ku .
1810.wav|ciɑ=ɦiɑ 'ləʔ , ɦe=ʦʰəŋ sɑ koŋ1-ciɔ1 cy ! ciɔ ʦʰɑ1=dɤ vɐʔ .
1811.wav|vəʔ=iɔ1 təŋ le , ŋu=le lɐʔ ɪʔ=bu ʦʰɑ1=dɤ .
1812.wav|ɑ1-'lɑ iɔ1 tɔ ɦoŋ ɟiɔ=lu ɦi=ø1 si1=lu .
1813.wav|iɔ1-vəʔ-iɔ1 zɑ̃ kɔ1=kɑ ʦɤ ?
1814.wav|zø=bi nɑ-nəŋ ʦɤ , nɑ-nəŋ kʰʷɑ zy nɑ nəŋ-kʰe !
1815.wav|kəʔ=məʔ zy zɑ̃ kɔ1=kɑ ʦɤ .
1816.wav|oʔ=ɦioʔ , bã-zɐʔ tu-ʦʰo , cɪʔ=sɐʔ ɲɪɲ 'ləʔ !
1817.wav|zy gəʔ=tɐʔ dɪɲ-ʦʰo hɔ=le .
1818.wav|noŋ zz lɑ=kʰɑ ɦe-zz fu=ɦi cɪɲ1 ?
1819.wav|fɐʔ=pʰiɔ 'ne hɔ , məʔ-zz vəʔ=iɔ1 mɑ̃ ci=lɐʔ ʦʰo-ʦz kɔ1=dɤ .
182.wav|dɑ-ciɑ1 tu1 li-ɦi .
1820.wav|cɪɲ1=ʦɔ1 ɦiɑ=tɔ cʰi kʷɑ̃=ʦɤ1=gəʔ hu ʦʰo-pʰiɔ ɦe-ɦiɤ vɐʔ ?
1821.wav|" zəʔ=kʰʷɑ " ʦʰo-pʰiɔ məʔ-liɔ , " tʰəʔ=kʰʷɑ " ɦe-ɦiɤ .
1822.wav|pɑ̃ ŋu=dɪɲ ɪʔ=ʦã " tʰəʔ=kʰʷɑ " ʦʰo-pʰiɔ .
1823.wav|noŋ=iɔ1 ŋã=zu ɦe-zz ŋu=pʰu .
1824.wav|ɲiø=ŋu ɦe-ɦiɤ vɐʔ ?
1825.wav|ɲiã ŋu kʰø1=ɪʔ=kʰø1 , te=vəʔ=cʰi , ʦəʔ1=ɦiɤ ŋã ŋu=pʰiɔ 'ləʔ .
1826.wav|zoŋ zɑ̃=he hu-ʦʰo ʦʰəŋ=tɔ zəŋ=ʦɤ1=iɔ1 ci-ku ʦoŋ=dɤ ?
1827.wav|gəʔ pe1 hu-ʦʰo ci=ti ʦoŋ=kʰe ?
1828.wav|ʦʰəŋ gəʔ bu hu-ʦʰo , ʦɤ ci=ɦɔ tʰoŋ1=dɔ ?
1829.wav|gəʔ ɑ1=zz kʰe=tɔ poʔ-cɪɲ1 cʰi-ɦəʔ hu-ʦʰo ?
183.wav|tʰi1 ue-'ləʔ , ŋu iɔ1 we-cʰi 'ləʔ .
1830.wav|gəʔ bu hu-ʦʰo lɐʔ kʰʷəŋ1 se1 ze=dɤ dɪɲ-ʦʰo vɐʔ ?
1831.wav|mɑ=hu ʦʰo-pʰiɔ gəʔ ʦʰɑ̃=kʰɤ lɐʔ=he ɑ1-li ?
1832.wav|ŋu siã mɑ ɪʔ=ʦã tɔ zɑ̃=he gəʔ te-zəŋ ci1=pʰiɔ .
1833.wav| ŋəʔ  ɦɔ=gəʔ pe=ci1 zi1=bu kʰɐʔ=mø .
1834.wav|ci=ɟi zø=ci1 ɦã-li iɔ1 ʦʰəŋ=ʦʰəŋ .
1835.wav|noŋ cʰɪʔ=ɕiã1=i1 vɐʔ ?
1836.wav|noŋ cʰɪʔ mi diɔ ɦe-zz cʰɪʔ=ve ? həʔ zəŋ=ʦəʔ ɦe-zz həʔ=kʰɑ-fi ?
1837.wav|dɑ-ciɑ1 gəʔ ɦã-li ze='ne=zi 'ləʔ vɐʔ ?
1838.wav|ɦe=cʰyɪʔ ɪʔ ʦɐʔ1 siã1=ʦz .
1839.wav|ʦʰɪɲ=vəŋ ɲɪɲ 'nɑ ci=we zz='me kʷəʔ mɤ-ɦiɪʔ de=piɔ dø=gəʔ vɐʔ ?
184.wav|ɦiɤ=kʰoŋ1 cɪɲ=zã=le kʰø1=kʰø1 .
1840.wav| ɲɪɲ 'nɑ  ɪʔ lu=lɑ̃=ɕiã cʰɪʔ=lɪʔ 'ləʔ vɐʔ
1841.wav|ɪʔ=ti ɦɑ vəʔ cʰɪʔ=lɪʔ , ziɑ=ziɑ=noŋ le=ʦɪʔ ɑ1-'lɑ .
1842.wav|siɔ-ʦiɑ , gəʔ foŋ1=səŋ ci=tɔ ɟy cɪɲ1=se1 , ɦiɤ=pʰiɔ tʰɪʔ tu1=sɔ ?
1843.wav|səŋ=fɑ̃=lɐʔ ʦʰəŋ kɔ1=dɤ ʦʰəŋ=ɪʔ=ʦʰəŋ ʦe kɔ=su noŋ .
1844.wav|ŋu=iɔ1 ci ʦʰɔ=pʰiɔ pəʔ 'm-'mɑ , 'ne=ʦã ci=kʰʷø te=pəʔ ŋu hɔ vɐʔ ?
1845.wav|de=mi lɑ̃ zz-ciɑ1 'ne .
1846.wav|ʦʰɪɲ vəŋ=lɐʔ=məʔ ɪʔ=tʰɑ̃1 kʰe sɪɲ-siã1 zz sɑ-zəŋ-kʷɑ̃1 ?
1847.wav|ŋ-ti ʦoŋ , səŋ=kʰʷɑ ti toʔ ɦo-cʰi ɦe-le təʔ ɟɪʔ .
1848.wav|ci=ko ɦɔ=səŋ zz-vəʔ-zz hɔ=kʰʷɑ ɪʔ=ti ?
1849.wav|ko=ɦɔ səŋ=zz pɔ=ɕi ɪʔ=ti , vəʔ-we kʰʷɑ fe1=r me .
185.wav|ʦe-we , ŋu ɪʔ=dɪɲ we tɪʔ ʦe le-ku .
